Collection,DOIs,Licenses,Subjects,Studies,Series,Images,File Size,Disk Space,Body Parts,Modalities,Manufacturers,Min DateReleased,Max DateReleased,UniqueDateReleased
4D-Lung,https://doi.org/10.7937/k9/tcia.2016.eln8ygle,Creative Commons Attribution 3.0 Unported License,20,589,6690,347330,183043903814,183.04 GB,LUNG,"CT, RTSTRUCT","Varian Imaging Laboratories, Switzerland, ADAC",2015-07-20 17:24:28,2016-10-14 12:34:18,"2015-07-20, 2015-07-21, 2015-07-22, 2015-07-23, 2016-10-12, 2016-10-14"
A091105,"https://doi.org/10.7937/0wf5-sj50, https://doi.org/10.7937/t8rn-j447",NCTN Data Archive License,83,1140,14422,725071,279230321368,279.23 GB,"ABDOMEN, Not Specified, EXTREMITY, CALF, SHOULDER, PELVIS, CHEST, LEG, NECK, ELBOW, ABDOMENPELVIS, KNEE, ARM, SPINE, THIGH, CHESTABDOMEN, LIVER, HUMERUS, FEMUR, HIP, HEADNECK, CHESTABDPELVIS, HEAD, LUNG, NECKCHEST, WHOLEBODY, BRAIN, SCAPULA, NECKCHESTABDOME, NECKCHESTABDPELV, HIPKNEE, HAND, FOOT","MR, CT, RTSTRUCT","SIEMENS, GE MEDICAL SYSTEMS, Siemens, Philips, GE MEDICAL SYSTEMS / MIM Software, Philips Medical Systems, Philips Healthcare, SIEMENS / MIM Software, Hitachi Medical Corporation, TOSHIBA, TOSHIBA_MEC, Open Health Imaging Foundation",2023-01-22 22:03:20,2023-10-26 16:34:01,"2023-01-22, 2023-01-28, 2023-01-29, 2023-02-07, 2023-02-08, 2023-10-26"
AAPM-RT-MAC,https://doi.org/10.7937/tcia.2019.bcfjqfqb,TCIA Limited Access License,55,55,110,6655,3523477652,3.52 GB,"HEADNECK, Not Specified, ABDOMEN, BRAIN","MR, RTSTRUCT","SIEMENS, RaySearch Laboratories",2019-05-19 11:18:44,2019-07-31 09:57:11,"2019-05-19, 2019-06-07, 2019-07-31"
ACNS0332,"https://doi.org/10.7937/tcia.582b-xz89, https://doi.org/10.7937/d8a8-6252",NCTN Data Archive License,85,688,11955,379341,99682929086,99.68 GB,"Not Specified, HEAD, CSPINE, BRAIN, SPINE, WHOLESPINE, TSPINE, ORBIT","MR, CT, RTSTRUCT, SEG","SIEMENS, GE MEDICAL SYSTEMS, Philips Medical Systems, Philips Medical Systems, Inc., Picker, Philips, Philips Healthcare, Toshiba, AMICAS Inc., Hitachi Medical Corporation, Not Specified, Unspecified",2021-04-02 11:14:57,2022-09-27 12:39:15,"2021-04-02, 2021-04-05, 2021-04-26, 2021-12-03, 2022-09-27"
ACRIN-6698,https://doi.org/10.7937/tcia.kk02-6d95,Creative Commons Attribution 4.0 International License,385,1123,18747,2911334,841954205762,841.95 GB,"Not Specified, BREAST, TSPINE","MR, SEG","GE MEDICAL SYSTEMS, Philips Medical Systems, Philips Healthcare, SIEMENS",2021-02-08 12:45:00,2021-07-15 09:44:32,"2021-02-08, 2021-02-13, 2021-02-14, 2021-02-18, 2021-02-26, 2021-02-28, 2021-03-04, 2021-03-05, 2021-03-08, 2021-03-10, 2021-03-12, 2021-03-23, 2021-03-24, 2021-03-27, 2021-03-28, 2021-03-29, 2021-04-01, 2021-04-02, 2021-04-03, 2021-04-04, 2021-04-05, 2021-04-06, 2021-04-07, 2021-04-13, 2021-04-14, 2021-07-15"
ACRIN-Contralateral-Breast-MR,https://doi.org/10.7937/q1ee-j082,Creative Commons Attribution 4.0 International License,984,1103,10184,626782,199593301222,199.59 GB,BREAST,"MR, CR","Philips Medical Systems, GE MEDICAL SYSTEMS, Confirma Inc., SIEMENS, Canon Medical Systems, Siemens, Not Specified, LUMISYS",2020-06-19 21:38:04,2020-12-17 06:02:53,"2020-06-19, 2020-06-20, 2020-06-29, 2020-07-14, 2020-10-30, 2020-11-29, 2020-11-30, 2020-12-17"
ACRIN-DSC-MR-Brain,https://doi.org/10.7937/tcia.2019.zr1pjf4i,TCIA Limited Access License,123,566,7629,717070,86886455912,86.89 GB,"Not Specified, BRAIN, HEAD","MR, CT","GE MEDICAL SYSTEMS, Not Specified, Philips Medical Systems, SIEMENS, Philips, Marconi",2019-02-07 10:56:26,2019-02-13 16:37:34,"2019-02-07, 2019-02-08, 2019-02-09, 2019-02-12, 2019-02-13"
ACRIN-FLT-Breast,https://doi.org/10.7937/k9/tcia.2017.ol20zmxg,Creative Commons Attribution 3.0 Unported License,83,363,1480,688598,74235657080,74.24 GB,"BREAST, Not Specified, CHEST, ABDOMEN","CT, PT, OT","SIEMENS, Not Specified, Philips Medical Systems, GE MEDICAL SYSTEMS, GE MEDICAL SYSTEMS, NUCLEAR, CPS",2017-09-30 08:26:05,2020-01-17 15:57:30,"2017-09-30, 2017-10-01, 2017-10-02, 2017-10-03, 2017-10-04, 2017-10-05, 2017-10-26, 2017-11-06, 2017-11-29, 2017-12-05, 2020-01-17"
ACRIN-FMISO-Brain,https://doi.org/10.7937/k9/tcia.2018.vohlekok,TCIA Limited Access License,45,423,4728,670828,96107613356,96.11 GB,BRAIN,"MR, PT, CT","GE MEDICAL SYSTEMS, Philips Medical Systems, TOSHIBA_MEC, SIEMENS, Philips Healthcare, Not Specified, NeuroLogica, PMOD Technologies, Imaging Biometrics LLC",2018-08-21 13:19:04,2019-05-23 14:32:12,"2018-08-21, 2018-08-22, 2018-08-23, 2018-08-24, 2019-05-21, 2019-05-23"
ACRIN-HNSCC-FDG-PET-CT,"https://doi.org/10.7937/k9/tcia.2016.jqejzzng, https://doi.org/10.7937/jvgc-aq36",TCIA Limited Access License,260,681,5443,463067,147802729582,147.80 GB,"NECK, Not Specified, ABDOMEN, CHEST, HEAD, BRAIN, PET, SPINE, WHOLEBODY, MEDIASTINUM, HEADNECK","CT, PT, MR, NM, RTSTRUCT","SIEMENS, CPS, GE MEDICAL SYSTEMS, Philips Medical Systems, Philips, TOSHIBA, SIEMENS NM, Siemens, Hitachi Medical Corporation, Not Specified, Open Health Imaging Foundation",2020-01-23 04:21:19,2023-11-03 12:04:43,"2020-01-23, 2020-01-27, 2020-01-31, 2021-11-23, 2023-11-03"
